arm,group,task,condition,bound,bh_family,n_pairs,n_clusters,n_excluded_non_terminating,mae_delta,ci_low,ci_high,p_value,bh_significant,bh_significant_global
main_sweep,qwen3-14b/thinking,node_degree,clustering,excluded,mae/qwen3-14b/thinking/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,node_degree,components,excluded,mae/qwen3-14b/thinking/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,node_degree,degree,excluded,mae/qwen3-14b/thinking/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,node_degree,filler,excluded,mae/qwen3-14b/thinking/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,node_degree,rwse,excluded,mae/qwen3-14b/thinking/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,node_count,all,excluded,mae/qwen3-8b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,node_count,clustering,excluded,mae/qwen3-8b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,node_count,components,excluded,mae/qwen3-8b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,node_count,degree,excluded,mae/qwen3-8b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,node_count,filler,excluded,mae/qwen3-8b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,node_count,rwse,excluded,mae/qwen3-8b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,edge_count,all,excluded,mae/qwen3-8b/thinking/edge_count,23,23,9,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,edge_count,clustering,excluded,mae/qwen3-8b/thinking/edge_count,26,26,7,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,edge_count,components,excluded,mae/qwen3-8b/thinking/edge_count,25,25,6,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,edge_count,degree,excluded,mae/qwen3-8b/thinking/edge_count,25,25,5,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,edge_count,filler,excluded,mae/qwen3-8b/thinking/edge_count,27,27,3,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,edge_count,rwse,excluded,mae/qwen3-8b/thinking/edge_count,26,26,6,-0.038461538461538464,-0.11538461538461539,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,node_degree,all,excluded,mae/qwen3-8b/thinking/node_degree,25,25,5,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,node_degree,clustering,excluded,mae/qwen3-8b/thinking/node_degree,28,28,2,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,node_degree,components,excluded,mae/qwen3-8b/thinking/node_degree,27,27,4,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,node_degree,degree,excluded,mae/qwen3-8b/thinking/node_degree,27,27,4,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,node_degree,filler,excluded,mae/qwen3-8b/thinking/node_degree,27,27,3,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b/thinking,node_degree,rwse,excluded,mae/qwen3-8b/thinking/node_degree,28,28,2,-0.0,-0.0,-0.0,1.0,False,False
