arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_forced_wrong_non_terminating,n_looped_on_correct_answer,high_non_termination_rate,near_ceiling,headroom,task_delta_min,task_delta_max,delta,ci_low,ci_high,p_value,bh_significant,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task,n_mae_imputed,mae_delta
main_sweep,qwen3-8b,exact,degree,,False,excluded,main_sweep/qwen3-8b/excluded,180,180,0.0,3.0,0.0,False,False,0.1333333333333333,0.0,0.36666666666666664,0.07777777777777778,0.03333333333333333,0.12222222222222222,0.0021995600879824036,True,,,,,,False,,,
main_sweep,qwen3-8b,exact,filler,,False,excluded,main_sweep/qwen3-8b/excluded,180,180,0.0,2.0,0.0,False,False,0.1333333333333333,-0.06666666666666667,0.03333333333333333,-0.005555555555555556,-0.044444444444444446,0.03333333333333333,1.0,False,0.35,0.04411111111111111,-0.04861111111111111,-0.04466666666666667,0.8,False,,,
main_sweep,qwen3-8b,exact,rwse,,False,excluded,main_sweep/qwen3-8b/excluded,180,180,0.0,2.0,0.0,False,False,0.1333333333333333,-0.03333333333333333,0.06666666666666667,0.011111111111111112,-0.027777777777777776,0.05,0.7678464307138573,False,0.3111111111111111,0.04133333333333333,-0.04861111111111111,-0.045,0.8,False,,,
main_sweep,qwen3-8b,exact,all,,True,excluded,main_sweep/qwen3-8b/excluded/derived,180,180,0.0,2.0,0.0,False,False,0.1333333333333333,-0.03333333333333333,0.13333333333333333,0.027777777777777776,-0.011111111111111112,0.06666666666666667,0.2971405718856229,False,0.36944444444444446,0.04844444444444444,-0.051041666666666666,-0.04566666666666667,0.8,,,,
main_sweep,pooled across all models,exact,clustering,,False,excluded,main_sweep/pooled across all models/excluded,720,720,0.0,20.0,0.0,False,False,0.08333333333333337,-0.008333333333333333,0.058333333333333334,0.0125,-0.004166666666666667,0.029166666666666667,0.1833633273345331,False,0.13125,0.011305555555555555,-0.0125,-0.012388888888888889,0.8,,,,
main_sweep,pooled across all models,exact,components,,False,excluded,main_sweep/pooled across all models/excluded,720,720,0.0,22.0,0.0,False,False,0.08333333333333337,-0.03333333333333333,0.008333333333333333,-0.004166666666666667,-0.019444444444444445,0.0125,0.7330533893221356,False,0.1375,0.012222222222222223,-0.0125,-0.011361111111111112,0.8,,,,
main_sweep,pooled across all models,exact,degree,,False,excluded,main_sweep/pooled across all models/excluded,720,720,0.0,21.0,1.0,False,False,0.08333333333333337,-0.016666666666666666,0.225,0.041666666666666664,0.022222222222222223,0.06111111111111111,0.0001999600079984003,True,,,,,,,,,
main_sweep,pooled across all models,exact,filler,,False,excluded,main_sweep/pooled across all models/excluded,720,720,0.0,21.0,0.0,False,False,0.08333333333333337,-0.03333333333333333,0.016666666666666666,-0.005555555555555556,-0.022222222222222223,0.011111111111111112,0.6216756648670266,False,0.13125,0.01125,-0.0125,-0.011888888888888888,0.8,,,,
main_sweep,pooled across all models,exact,rwse,,False,excluded,main_sweep/pooled across all models/excluded,720,720,0.0,24.0,0.0,False,False,0.08333333333333337,-0.03333333333333333,0.016666666666666666,0.0,-0.016666666666666666,0.016666666666666666,1.0,False,0.125,0.01075,-0.0125,-0.0115,0.8,,,,
main_sweep,pooled across all models,exact,all,,True,excluded,main_sweep/pooled across all models/excluded/derived,720,720,0.0,14.0,0.0,False,False,0.08333333333333337,0.0,0.11666666666666667,0.025,0.009722222222222222,0.041666666666666664,0.005598880223955209,True,,,,,,,,,
main_sweep,gemma4-12b,exact,clustering,,False,excluded,main_sweep/gemma4-12b/task/connected_nodes,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,connected_nodes,,
main_sweep,gemma4-12b,exact,components,,False,excluded,main_sweep/gemma4-12b/task/connected_nodes,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,connected_nodes,,
main_sweep,gemma4-12b,exact,degree,,False,excluded,main_sweep/gemma4-12b/task/connected_nodes,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,connected_nodes,,
main_sweep,gemma4-12b,exact,filler,,False,excluded,main_sweep/gemma4-12b/task/connected_nodes,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,connected_nodes,,
main_sweep,gemma4-12b,exact,rwse,,False,excluded,main_sweep/gemma4-12b/task/connected_nodes,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,connected_nodes,,
main_sweep,gemma4-12b,exact,all,,True,excluded,main_sweep/gemma4-12b/task/connected_nodes/derived,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,,connected_nodes,,
main_sweep,gemma4-12b,exact,clustering,,False,excluded,main_sweep/gemma4-12b/task/cycle_check,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,cycle_check,,
main_sweep,gemma4-12b,exact,components,,False,excluded,main_sweep/gemma4-12b/task/cycle_check,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,cycle_check,,
main_sweep,gemma4-12b,exact,degree,,False,excluded,main_sweep/gemma4-12b/task/cycle_check,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,cycle_check,,
main_sweep,gemma4-12b,exact,filler,,False,excluded,main_sweep/gemma4-12b/task/cycle_check,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,cycle_check,,
main_sweep,gemma4-12b,exact,rwse,,False,excluded,main_sweep/gemma4-12b/task/cycle_check,30,30,,,,,,,,,0.0,0.0,0.0,1.0,False,,,,,,False,cycle_check,,
