arm,task,condition,p,n,success,exact,cap,parsed,tokens,f1
qwen3-1.7b-think,cycle_check,filler,0.2,100,1.0,1.0,0.0,1.0,1573.0,
qwen3-1.7b-think,cycle_check,filler,0.35,100,1.0,1.0,0.0,1.0,2024.0,
qwen3-1.7b-think,cycle_check,filler,0.5,100,1.0,1.0,0.0,1.0,1624.5,
qwen3-1.7b-think,cycle_check,none,0.1,100,0.99,1.0,0.01,1.0,2036.0,
qwen3-1.7b-think,cycle_check,none,0.2,100,0.98,0.99,0.02,1.0,2298.5,
qwen3-1.7b-think,cycle_check,none,0.35,100,0.95,0.97,0.05,1.0,3006.5,
qwen3-1.7b-think,cycle_check,none,0.5,100,0.96,0.98,0.04,1.0,3190.5,
qwen3-1.7b-think,cycle_check,rwse,0.1,100,1.0,1.0,0.0,1.0,2321.0,
qwen3-1.7b-think,cycle_check,rwse,0.2,100,0.99,1.0,0.01,1.0,2434.5,
qwen3-1.7b-think,cycle_check,rwse,0.35,100,1.0,1.0,0.0,1.0,2405.5,
qwen3-1.7b-think,cycle_check,rwse,0.5,100,0.98,0.99,0.02,1.0,1956.0,
qwen3-1.7b-think,edge_count,all,0.1,100,0.24,0.4,0.7,1.0,8192.0,
qwen3-1.7b-think,edge_count,all,0.2,100,0.15,0.28,0.78,1.0,8192.0,
qwen3-1.7b-think,edge_count,all,0.35,100,0.22,0.38,0.67,1.0,8192.0,
qwen3-1.7b-think,edge_count,all,0.5,100,0.22,0.31,0.63,1.0,8192.0,
qwen3-1.7b-think,edge_count,clustering,0.1,100,0.31,0.64,0.66,1.0,8192.0,
qwen3-1.7b-think,edge_count,clustering,0.2,100,0.25,0.3,0.68,1.0,8192.0,
qwen3-1.7b-think,edge_count,clustering,0.35,100,0.02,0.05,0.96,1.0,8192.0,
qwen3-1.7b-think,edge_count,clustering,0.5,100,0.0,0.0,1.0,1.0,8192.0,
qwen3-1.7b-think,edge_count,components,0.1,100,0.43,0.59,0.56,1.0,8192.0,
qwen3-1.7b-think,edge_count,components,0.2,100,0.17,0.28,0.73,1.0,8192.0,
qwen3-1.7b-think,edge_count,components,0.35,100,0.0,0.03,1.0,1.0,8192.0,
qwen3-1.7b-think,edge_count,components,0.5,100,0.0,0.01,1.0,1.0,8192.0,
qwen3-1.7b-think,edge_count,degree,0.1,100,0.11,0.24,0.8,1.0,8192.0,
qwen3-1.7b-think,edge_count,degree,0.2,100,0.16,0.26,0.77,1.0,8192.0,
qwen3-1.7b-think,edge_count,degree,0.35,100,0.13,0.2,0.83,1.0,8192.0,
qwen3-1.7b-think,edge_count,degree,0.5,100,0.1,0.17,0.84,1.0,8192.0,
qwen3-1.7b-think,edge_count,filler,0.1,100,0.39,0.72,0.58,1.0,8192.0,
qwen3-1.7b-think,edge_count,filler,0.2,100,0.16,0.31,0.76,1.0,8192.0,
qwen3-1.7b-think,edge_count,filler,0.35,100,0.02,0.06,0.98,1.0,8192.0,
qwen3-1.7b-think,edge_count,filler,0.5,100,0.0,0.0,1.0,1.0,8192.0,
qwen3-1.7b-think,edge_count,none,0.1,100,0.48,0.67,0.5,1.0,8061.5,
qwen3-1.7b-think,edge_count,none,0.2,100,0.15,0.31,0.77,1.0,8192.0,
