arm,task,control,condition,n,baseline,treatment,delta,lo,hi,fixed,broken,pvalue,qvalue
qwen3-1.7b-think,node_count,filler,rwse,400,100.0,100.0,0.0,0.0,0.0,0,0,1.0,1.0
qwen3-1.7b-think,node_count,filler,degree,400,100.0,96.5,-3.5000000000000004,-5.5,-1.7500000000000002,0,14,0.0001220703125,0.000244140625
qwen3-1.7b-think,node_count,filler,all,400,100.0,100.0,0.0,0.0,0.0,0,0,1.0,1.0
qwen3-1.7b-think,node_degree,none,filler,400,76.25,73.25,-3.0,-7.000000000000001,1.0,27,39,0.17528579444303533,0.3505715888860707
qwen3-1.7b-think,node_degree,none,components,400,76.25,75.25,-1.0,-4.25,2.5,22,26,0.6654658120766188,0.6654658120766188
qwen3-1.7b-think,node_degree,none,clustering,400,76.25,77.75,1.5,-2.2500000000000004,5.250000000000001,34,28,0.52577336017565,0.63092803221078
qwen3-1.7b-think,node_degree,none,rwse,400,76.25,78.75,2.5,-1.9999999999999998,6.75,44,34,0.3081682319436807,0.46225234791552106
qwen3-1.7b-think,node_degree,none,degree,400,76.25,85.0,8.75,4.25,13.25,62,27,0.00026558534298746995,0.0007967560289624099
qwen3-1.7b-think,node_degree,none,all,400,76.25,88.5,12.25,8.0,16.506250000000023,66,17,5.6029313850528654e-08,3.361758831031719e-07
qwen3-1.7b-think,node_degree,filler,none,400,73.25,76.25,3.0,-0.7500000000000001,6.756250000000024,39,27,0.17528579444303533,0.2103429533316424
qwen3-1.7b-think,node_degree,filler,components,400,73.25,75.25,2.0,-2.0000000000000004,6.000000000000001,40,32,0.40957939592707177,0.40957939592707177
qwen3-1.7b-think,node_degree,filler,clustering,400,73.25,77.75,4.5,0.7499999999999998,8.5,42,24,0.03558272445223169,0.05337408667834754
qwen3-1.7b-think,node_degree,filler,rwse,400,73.25,78.75,5.5,1.5000000000000002,9.25,45,23,0.01033766119369546,0.02067532238739092
qwen3-1.7b-think,node_degree,filler,degree,400,73.25,85.0,11.75,7.250000000000001,16.499999999999996,70,23,1.1026255560645484e-06,3.307876668193645e-06
qwen3-1.7b-think,node_degree,filler,all,400,73.25,88.5,15.25,11.0,19.5,74,13,1.59389870813477e-11,9.56339224880862e-11
qwen3-4b,connected_nodes,none,filler,400,86.0,73.5,-12.5,-17.0,-8.0,21,71,1.6168121721594925e-07,4.850436516478477e-07
qwen3-4b,connected_nodes,none,components,400,86.0,95.25,9.25,6.0,12.75,44,7,1.2115257419509362e-07,4.850436516478477e-07
qwen3-4b,connected_nodes,none,clustering,400,86.0,87.0,1.0,-2.7500000000000004,4.500000000000001,33,29,0.7035366713552733,0.844244005626328
qwen3-4b,connected_nodes,none,rwse,400,86.0,86.0,0.0,-3.9999999999999996,4.0,34,34,1.0,1.0
qwen3-4b,connected_nodes,none,degree,400,86.0,83.0,-3.0,-7.249999999999999,1.0,30,42,0.1945051658673991,0.3720686128387918
qwen3-4b,connected_nodes,none,all,400,86.0,83.25,-2.75,-7.000000000000001,1.5,32,43,0.24804574189252784,0.3720686128387918
qwen3-4b,connected_nodes,filler,none,400,73.5,86.0,12.5,8.0,17.0,71,21,1.6168121721594925e-07,2.4252182582392386e-07
qwen3-4b,connected_nodes,filler,components,400,73.5,95.25,21.75,17.25,26.25,96,9,1.631136685631456e-19,9.786820113788736e-19
qwen3-4b,connected_nodes,filler,clustering,400,73.5,87.0,13.5,9.0,18.006250000000023,75,21,2.7069291882474876e-08,5.4138583764949746e-08
qwen3-4b,connected_nodes,filler,rwse,400,73.5,86.0,12.5,8.493750000000002,16.75,65,15,1.411466840981396e-08,4.234400522944188e-08
qwen3-4b,connected_nodes,filler,degree,400,73.5,83.0,9.5,5.0,14.500000000000002,71,33,0.000247115841064573,0.000247115841064573
qwen3-4b,connected_nodes,filler,all,400,73.5,83.25,9.75,5.0,14.499999999999998,67,28,7.804247056315925e-05,9.36509646757911e-05
qwen3-4b,cycle_check,none,filler,400,99.0,98.5,-0.5,-2.0,0.7500000000000001,3,5,0.7265625,1.0
qwen3-4b,cycle_check,none,components,400,99.0,97.0,-2.0,-4.0,-0.24999999999999997,4,12,0.076812744140625,0.230438232421875
qwen3-4b,cycle_check,none,clustering,400,99.0,99.5,0.5,-0.75,1.7500000000000002,4,2,0.6875,1.0
qwen3-4b,cycle_check,none,rwse,400,99.0,98.75,-0.25,-1.7500000000000002,1.25,4,5,1.0,1.0
qwen3-4b,cycle_check,none,degree,400,99.0,96.75,-2.25,-4.25,-0.49999999999999994,3,12,0.03515625,0.2109375
qwen3-4b,cycle_check,none,all,400,99.0,98.75,-0.25,-1.7500000000000002,1.25,4,5,1.0,1.0
qwen3-4b,cycle_check,filler,none,400,98.5,99.0,0.5,-0.7500000000000001,1.7500000000000002,5,3,0.7265625,1.0
qwen3-4b,cycle_check,filler,components,400,98.5,97.0,-1.5,-3.5000000000000004,0.5000000000000001,6,12,0.237884521484375,0.578125
qwen3-4b,cycle_check,filler,clustering,400,98.5,99.5,1.0,-0.25,2.5,6,2,0.2890625,0.578125
qwen3-4b,cycle_check,filler,rwse,400,98.5,98.75,0.25,-1.25,1.7499999999999998,5,4,1.0,1.0
qwen3-4b,cycle_check,filler,degree,400,98.5,96.75,-1.7500000000000002,-3.75,0.24999999999999997,5,12,0.143463134765625,0.578125
qwen3-4b,cycle_check,filler,all,400,98.5,98.75,0.25,-1.25,1.7500000000000002,6,5,1.0,1.0
qwen3-4b,edge_count,none,filler,400,2.0,3.25,1.25,-0.75,3.25,10,5,0.30175781249999994,0.30175781249999994
qwen3-4b,edge_count,none,components,400,2.0,0.75,-1.25,-2.75,0.006250000000022735,2,7,0.1796875,0.26953125
qwen3-4b,edge_count,none,clustering,400,2.0,0.75,-1.25,-3.0,0.25000000000000006,3,8,0.2265625,0.271875
qwen3-4b,edge_count,none,rwse,400,2.0,0.5,-1.5,-3.0,-0.25,1,7,0.0703125,0.140625
qwen3-4b,edge_count,none,degree,400,2.0,29.25,27.250000000000004,22.749999999999996,31.75,114,5,5.743453631889443e-28,3.446072179133666e-27
qwen3-4b,edge_count,none,all,400,2.0,5.75,3.75,1.25,6.25,21,6,0.005924612283706665,0.017773836851119995
qwen3-4b,edge_count,filler,none,400,3.25,2.0,-1.25,-3.25,0.75,5,10,0.30175781249999994,0.30175781249999994
qwen3-4b,edge_count,filler,components,400,3.25,0.75,-2.5,-4.5,-0.7499999999999999,3,13,0.021270751953125,0.0319061279296875
qwen3-4b,edge_count,filler,clustering,400,3.25,0.75,-2.5,-4.5,-0.75,3,13,0.021270751953125,0.0319061279296875
qwen3-4b,edge_count,filler,rwse,400,3.25,0.5,-2.75,-4.75,-1.0,2,13,0.00738525390625,0.02215576171875
qwen3-4b,edge_count,filler,degree,400,3.25,29.25,26.0,21.250000000000004,30.75,114,10,1.6790570008398702e-23,1.0074342005039221e-22
qwen3-4b,edge_count,filler,all,400,3.25,5.75,2.5,-0.2499999999999999,5.250000000000001,21,11,0.11018416518345475,0.1322209982201457
qwen3-4b,edge_existence,none,filler,400,90.5,83.5,-7.000000000000001,-10.500000000000002,-3.5000000000000004,14,42,0.00023444586091919684,0.00046889172183839367
qwen3-4b,edge_existence,none,components,400,90.5,87.75,-2.75,-6.0,0.49999999999999994,16,27,0.12628947438543037,0.12628947438543037
qwen3-4b,edge_existence,none,clustering,400,90.5,94.5,4.0,1.0,7.249999999999999,28,12,0.01658900337497471,0.01990680404996965
qwen3-4b,edge_existence,none,rwse,400,90.5,80.5,-10.0,-13.750000000000002,-6.25,13,53,7.237175237417024e-07,4.342305142450214e-06
qwen3-4b,edge_existence,none,degree,400,90.5,85.75,-4.75,-8.0,-1.25,15,34,0.009399241523873059,0.014098862285809588
qwen3-4b,edge_existence,none,all,400,90.5,80.5,-10.0,-14.000000000000002,-6.000000000000001,15,55,1.652519847797991e-06,4.957559543393973e-06
qwen3-4b,edge_existence,filler,none,400,83.5,90.5,7.000000000000001,3.25,10.500000000000002,42,14,0.00023444586091919684,0.0007033375827575905
qwen3-4b,edge_existence,filler,components,400,83.5,87.75,4.25,1.2499999999999998,7.5,30,13,0.0137181850586785,0.027436370117357
qwen3-4b,edge_existence,filler,clustering,400,83.5,94.5,11.0,7.5,14.500000000000002,52,8,5.205691473372798e-09,3.1234148840236786e-08
qwen3-4b,edge_existence,filler,rwse,400,83.5,80.5,-3.0,-6.999999999999999,0.75,24,36,0.1550019040032606,0.18600228480391273
qwen3-4b,edge_existence,filler,degree,400,83.5,85.75,2.25,-1.25,5.750000000000001,31,22,0.27167916606550335,0.27167916606550335
qwen3-4b,edge_existence,filler,all,400,83.5,80.5,-3.0,-6.75,0.75,23,35,0.14800580076020603,0.18600228480391273
qwen3-4b,node_count,none,filler,400,90.25,99.5,9.25,6.75,11.75,37,0,1.4551915228366852e-11,4.3655745685100555e-11
qwen3-4b,node_count,none,components,400,90.25,99.25,9.0,6.5,11.5,37,1,2.837623469531536e-10,5.675246939063072e-10
qwen3-4b,node_count,none,clustering,400,90.25,99.0,8.75,6.0,11.5,38,3,1.0479197953827679e-08,1.2575037544593215e-08
qwen3-4b,node_count,none,rwse,400,90.25,99.5,9.25,6.5,12.0,39,2,7.839844329282641e-10,1.1759766493923962e-09
qwen3-4b,node_count,none,degree,400,90.25,98.25,8.0,5.25,10.750000000000002,37,5,4.4337048166198656e-07,4.4337048166198656e-07
