model_size,task,density,condition,delta_nonthink,delta_think,interaction,acc_none_nonthink,cap_nonthink,cap_think
4b,edge_existence,0.2,all,0.0,0.0,0.0,,0.0,0.01
4b,edge_existence,0.35,filler,0.0,0.0,0.0,,0.0,0.0
4b,edge_existence,0.35,degree,0.040000000000000036,0.0,-0.040000000000000036,,0.0,0.0
4b,edge_existence,0.35,clustering,0.14,0.0,-0.14,,0.0,0.0
4b,edge_existence,0.35,rwse,-0.050000000000000044,0.0,0.050000000000000044,,0.0,0.0
4b,edge_existence,0.35,components,0.0,0.0,0.0,,0.0,0.0
4b,edge_existence,0.35,all,-0.050000000000000044,0.0,0.050000000000000044,,0.0,0.0
4b,edge_existence,0.5,filler,0.0,0.0,0.0,,0.0,0.0
4b,edge_existence,0.5,degree,-0.050000000000000044,0.0,0.050000000000000044,,0.01,0.0
4b,edge_existence,0.5,clustering,0.1499999999999999,0.0,-0.1499999999999999,,0.0,0.0
4b,edge_existence,0.5,rwse,-0.12,0.0,0.12,,0.0,0.0
4b,edge_existence,0.5,components,0.039999999999999925,0.0,-0.039999999999999925,,0.0,0.01
4b,edge_existence,0.5,all,-0.06000000000000005,0.0,0.06000000000000005,,0.0,0.0
4b,edge_existence,0.65,filler,0.0,0.0,0.0,,0.0,0.0
4b,edge_existence,0.65,degree,0.06000000000000005,0.0,-0.06000000000000005,,0.01,0.0
4b,edge_existence,0.65,clustering,0.19999999999999996,0.0,-0.19999999999999996,,0.0,0.0
4b,edge_existence,0.65,rwse,0.15000000000000002,0.0,-0.15000000000000002,,0.0,0.0
4b,edge_existence,0.65,components,0.040000000000000036,0.0,-0.040000000000000036,,0.0,0.0
4b,edge_existence,0.65,all,0.13,0.0,-0.13,,0.0,0.0
4b,edge_existence,0.75,filler,0.0,0.0,0.0,,0.0,0.0
4b,edge_existence,0.75,degree,0.020000000000000018,0.0,-0.020000000000000018,,0.0,0.0
4b,edge_existence,0.75,clustering,0.10999999999999999,0.0,-0.10999999999999999,,0.0,0.0
4b,edge_existence,0.75,rwse,0.030000000000000027,0.0,-0.030000000000000027,,0.0,0.0
4b,edge_existence,0.75,components,0.030000000000000027,0.0,-0.030000000000000027,,0.01,0.0
4b,edge_existence,0.75,all,0.0,0.0,0.0,,0.01,0.0
4b,edge_existence,0.85,filler,0.0,0.0,0.0,,0.0,0.0
4b,edge_existence,0.85,degree,0.010000000000000009,0.0,-0.010000000000000009,,0.0,0.0
4b,edge_existence,0.85,clustering,0.039999999999999925,0.0,-0.039999999999999925,,0.0,0.0
4b,edge_existence,0.85,rwse,-0.010000000000000009,-0.010000000000000009,0.0,,0.0,0.0
4b,edge_existence,0.85,components,0.020000000000000018,0.0,-0.020000000000000018,,0.0,0.0
4b,edge_existence,0.85,all,-0.010000000000000009,-0.010000000000000009,0.0,,0.0,0.0
4b,node_degree,0.1,filler,0.0,0.0,0.0,,0.0,0.03
4b,node_degree,0.1,degree,-0.06000000000000005,0.020000000000000018,0.08000000000000007,,0.0,0.01
4b,node_degree,0.1,clustering,0.0,0.0,0.0,,0.0,0.03
4b,node_degree,0.1,rwse,0.0,-0.039999999999999925,-0.039999999999999925,,0.0,0.07
4b,node_degree,0.1,components,0.0,-0.030000000000000027,-0.030000000000000027,,0.0,0.06
4b,node_degree,0.1,all,-0.06999999999999995,-0.020000000000000018,0.04999999999999993,,0.0,0.05
4b,node_degree,0.2,filler,0.0,0.0,0.0,,0.0,0.0
