arm,n,k,edges,n_rows,acc,median_tokens,hit_cap_rate
qwen3-8b-think,60,16,480,50,0.9,1714.5,0.04
qwen3-8b-think,80,4,160,50,0.9,3095.0,0.1
qwen3-8b-think,80,8,320,50,0.8,1606.0,0.1
qwen3-8b-think,80,12,480,50,0.88,1526.0,0.06
qwen3-8b-think,80,16,640,50,0.8,1401.0,0.1
qwen3-8b-think,120,4,240,50,0.94,2276.0,0.1
qwen3-8b-think,120,8,480,50,0.8,1162.0,0.14
qwen3-8b-think,120,12,720,50,0.82,1155.0,0.16
qwen3-8b-think,120,16,960,50,0.82,1515.5,0.08
qwen3-8b-think,160,8,640,50,0.7,1431.0,0.26
qwen3-8b-think,160,12,960,50,0.76,1408.0,0.14
qwen3-8b-think,200,12,1200,50,0.68,1454.5,0.24
qwen3-8b-think,300,8,1200,50,0.66,1316.0,0.22
qwen35-2b,40,8,160,50,1.0,169.0,0.0
qwen35-2b,40,12,240,50,0.86,214.0,0.0
qwen35-2b,40,16,320,50,0.84,307.0,0.0
qwen35-2b,60,8,240,50,0.98,173.0,0.0
qwen35-2b,60,12,360,50,0.8,221.0,0.0
qwen35-2b,60,16,480,50,0.8,282.0,0.02
qwen35-2b,80,4,160,50,1.0,156.0,0.0
qwen35-2b,80,8,320,50,0.98,192.0,0.0
qwen35-2b,80,12,480,50,0.82,226.5,0.0
qwen35-2b,80,16,640,50,0.88,285.0,0.02
qwen35-2b,120,4,240,50,0.98,157.5,0.0
qwen35-2b,120,8,480,50,0.96,183.0,0.0
qwen35-2b,120,12,720,50,0.92,203.0,0.0
qwen35-2b,120,16,960,50,0.9,250.5,0.0
qwen35-2b,160,8,640,50,0.96,193.5,0.0
qwen35-2b,160,12,960,50,0.96,228.5,0.0
qwen35-2b,200,12,1200,50,0.98,228.5,0.0
qwen35-2b,300,8,1200,50,0.94,184.0,0.0
qwen35-2b-think,40,8,160,50,0.96,733.0,0.2
qwen35-2b-think,40,12,240,50,0.98,1176.0,0.14
qwen35-2b-think,40,16,320,50,0.92,1075.5,0.16
qwen35-2b-think,60,8,240,50,0.88,771.0,0.2
