arm,task,density,condition,n,base_acc_pts,band,delta_vs_none_pts,delta_vs_filler_pts,sig_vs_none,sig_vs_filler,content_effect
qwen3-1.7b-think,node_degree,0.5,components,100,60.0,50-80,-2.0000000000000018,2.9999999999999916,0,0,0
qwen3-1.7b-think,node_degree,0.5,all,100,60.0,50-80,18.000000000000004,23.0,1,1,1
qwen3-1.7b-think,node_degree,0.65,degree,100,52.0,50-80,20.999999999999996,38.0,1,1,1
qwen3-1.7b-think,node_degree,0.65,clustering,100,52.0,50-80,-13.0,4.0000000000000036,0,0,0
qwen3-1.7b-think,node_degree,0.65,rwse,100,52.0,50-80,-9.000000000000002,8.000000000000002,0,0,0
qwen3-1.7b-think,node_degree,0.65,components,100,52.0,50-80,-6.0,11.000000000000004,0,0,0
qwen3-1.7b-think,node_degree,0.65,all,100,52.0,50-80,29.999999999999993,47.0,1,1,1
qwen3-1.7b-think,node_degree,0.75,degree,100,45.0,20-50,27.999999999999996,37.0,1,1,1
qwen3-1.7b-think,node_degree,0.75,clustering,100,45.0,20-50,-7.000000000000001,2.0000000000000018,0,0,0
qwen3-1.7b-think,node_degree,0.75,rwse,100,45.0,20-50,-6.0,3.0000000000000027,0,0,0
qwen3-1.7b-think,node_degree,0.75,components,100,45.0,20-50,-7.000000000000001,2.0000000000000018,0,0,0
qwen3-1.7b-think,node_degree,0.75,all,100,45.0,20-50,22.000000000000004,31.000000000000007,1,1,1
qwen3-1.7b-think,node_degree,0.85,degree,100,42.0,20-50,43.0,53.0,1,1,1
qwen3-1.7b-think,node_degree,0.85,clustering,100,42.0,20-50,-7.000000000000001,2.9999999999999973,0,0,0
qwen3-1.7b-think,node_degree,0.85,rwse,100,42.0,20-50,2.0000000000000018,12.0,0,0,0
qwen3-1.7b-think,node_degree,0.85,components,100,42.0,20-50,9.000000000000002,19.0,0,1,0
qwen3-1.7b-think,node_degree,0.85,all,100,42.0,20-50,15.999999999999998,25.999999999999996,0,1,0
qwen3-1.7b-think,connected_nodes,0.1,degree,100,92.0,80-95,0.0,-2.9999999999999916,0,0,0
qwen3-1.7b-think,connected_nodes,0.1,clustering,100,92.0,80-95,2.9999999999999916,0.0,0,0,0
qwen3-1.7b-think,connected_nodes,0.1,rwse,100,92.0,80-95,5.999999999999995,3.0000000000000027,0,0,0
qwen3-1.7b-think,connected_nodes,0.1,components,100,92.0,80-95,1.9999999999999907,-1.0000000000000009,0,0,0
qwen3-1.7b-think,connected_nodes,0.1,all,100,92.0,80-95,7.9999999999999964,5.000000000000004,0,0,0
qwen3-1.7b-think,connected_nodes,0.2,degree,100,96.0,>95,-3.9999999999999925,-4.999999999999993,0,0,0
qwen3-1.7b-think,connected_nodes,0.2,clustering,100,96.0,>95,0.0,-1.0000000000000009,0,0,0
qwen3-1.7b-think,connected_nodes,0.2,rwse,100,96.0,>95,-7.9999999999999964,-8.999999999999996,0,0,0
qwen3-1.7b-think,connected_nodes,0.2,components,100,96.0,>95,-2.0000000000000018,-3.0000000000000027,0,0,0
qwen3-1.7b-think,connected_nodes,0.2,all,100,96.0,>95,-2.0000000000000018,-3.0000000000000027,0,0,0
qwen3-1.7b-think,connected_nodes,0.35,degree,100,68.0,50-80,13.0,9.000000000000007,0,0,0
qwen3-1.7b-think,connected_nodes,0.35,clustering,100,68.0,50-80,-2.0000000000000018,-5.999999999999995,0,0,0
qwen3-1.7b-think,connected_nodes,0.35,rwse,100,68.0,50-80,3.9999999999999925,0.0,0,0,0
qwen3-1.7b-think,connected_nodes,0.35,components,100,68.0,50-80,2.9999999999999916,-1.0000000000000009,0,0,0
qwen3-1.7b-think,connected_nodes,0.35,all,100,68.0,50-80,9.999999999999998,6.000000000000005,0,0,0
qwen3-1.7b-think,connected_nodes,0.5,degree,100,59.0,50-80,16.000000000000004,14.000000000000002,0,0,0
qwen3-1.7b-think,connected_nodes,0.5,clustering,100,59.0,50-80,8.000000000000007,6.000000000000005,0,0,0
qwen3-1.7b-think,connected_nodes,0.5,rwse,100,59.0,50-80,-1.0000000000000009,-3.0000000000000027,0,0,0
qwen3-1.7b-think,connected_nodes,0.5,components,100,59.0,50-80,8.000000000000007,6.000000000000005,0,0,0
qwen3-1.7b-think,connected_nodes,0.5,all,100,59.0,50-80,9.000000000000007,7.000000000000006,0,0,0
