arm,task,density,condition,n,baseline,delta,acc,trunc_a,trunc_b,flagged,bar,bar_none,carries,p,q
qwen3-1.7b-think,edge_existence,0.2,components,100,1.0,-3.0000000000000027,0.97,0.0,0.0,False,0.7352380952380952,0.7352380952380952,False,0.25,1.0
qwen3-1.7b-think,edge_existence,0.2,clustering,100,1.0,-2.0000000000000018,0.98,0.0,0.0,False,0.7266666666666667,0.7352380952380952,False,0.5,1.0
qwen3-1.7b-think,edge_existence,0.2,rwse,100,1.0,-5.000000000000004,0.95,0.0,0.0,False,0.5538095238095239,0.7352380952380952,False,0.0625,1.0
qwen3-1.7b-think,edge_existence,0.2,degree,100,1.0,-5.000000000000004,0.95,0.0,0.0,False,0.7457142857142857,0.7352380952380952,False,0.0625,1.0
qwen3-1.7b-think,edge_existence,0.2,all,100,1.0,-4.0000000000000036,0.96,0.0,0.0,False,0.7409523809523809,0.7352380952380952,False,0.125,1.0
qwen3-1.7b-think,edge_existence,0.35,components,100,0.97,1.0000000000000009,0.98,0.0,0.0,False,0.7352380952380952,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.35,clustering,100,0.97,2.0000000000000018,0.99,0.0,0.0,False,0.7266666666666667,0.7352380952380952,False,0.5,1.0
qwen3-1.7b-think,edge_existence,0.35,rwse,100,0.97,0.0,0.97,0.0,0.0,False,0.5538095238095239,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.35,degree,100,0.97,0.0,0.97,0.0,0.0,False,0.7457142857142857,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.35,all,100,0.97,0.0,0.97,0.0,0.0,False,0.7409523809523809,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.5,components,100,1.0,0.0,1.0,0.0,0.0,False,0.7352380952380952,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.5,clustering,100,1.0,-2.0000000000000018,0.98,0.0,0.0,False,0.7266666666666667,0.7352380952380952,False,0.5,1.0
qwen3-1.7b-think,edge_existence,0.5,rwse,100,1.0,-1.0000000000000009,0.99,0.0,0.01,False,0.5538095238095239,0.7352380952380952,False,1.0,1.0
