arm,task,density,d_degree,d_clustering,d_rwse,sum_parts,d_all,gap,ratio,max_part,ratio_max,max_share
qwen3-4b,edge_existence,0.5,-0.16000000000000003,0.039999999999999925,-0.22999999999999998,-0.3500000000000001,-0.17000000000000004,0.18000000000000005,0.4857142857142857,-0.22999999999999998,0.739130434782609,0.6571428571428569
qwen3-4b,edge_existence,0.65,-0.05999999999999994,0.07999999999999996,0.030000000000000027,0.050000000000000044,0.010000000000000009,-0.040000000000000036,0.2,0.07999999999999996,0.12500000000000017,1.5999999999999979
qwen3-4b,edge_existence,0.75,0.0,0.08999999999999997,0.010000000000000009,0.09999999999999998,-0.020000000000000018,-0.12,-0.20000000000000023,0.08999999999999997,-0.2222222222222225,0.8999999999999999
qwen3-4b,edge_existence,0.85,-0.039999999999999925,-0.010000000000000009,-0.05999999999999994,-0.10999999999999988,-0.05999999999999994,0.04999999999999993,0.5454545454545455,-0.05999999999999994,1.0,0.5454545454545455
qwen3-4b,node_degree,0.1,-0.06000000000000005,0.0,0.0,-0.06000000000000005,-0.06999999999999995,-0.009999999999999898,1.1666666666666647,-0.06000000000000005,1.1666666666666647,1.0
qwen3-4b,node_degree,0.2,-0.010000000000000009,0.010000000000000009,-0.020000000000000018,-0.020000000000000018,-0.030000000000000027,-0.010000000000000009,1.5,-0.020000000000000018,1.5,1.0
qwen3-4b,node_degree,0.35,-0.06999999999999995,0.0,-0.030000000000000027,-0.09999999999999998,-0.06999999999999995,0.030000000000000027,0.6999999999999996,-0.06999999999999995,1.0,0.6999999999999996
qwen3-4b,node_degree,0.5,-0.12,-0.030000000000000027,-0.040000000000000036,-0.19000000000000006,-0.15000000000000002,0.040000000000000036,0.7894736842105262,-0.12,1.2500000000000002,0.6315789473684208
qwen3-4b,node_degree,0.65,-0.05999999999999994,0.07000000000000006,0.0,0.01000000000000012,-0.36999999999999994,-0.38000000000000006,,0.07000000000000006,-5.28571428571428,
qwen3-4b,node_degree,0.75,0.06999999999999995,0.08999999999999997,0.13,0.2899999999999999,-0.19,-0.4799999999999999,-0.6551724137931036,0.13,-1.4615384615384615,0.44827586206896564
qwen3-4b,node_degree,0.85,0.26999999999999996,0.18,0.09999999999999998,0.5499999999999999,-0.08000000000000002,-0.6299999999999999,-0.1454545454545455,0.26999999999999996,-0.2962962962962964,0.4909090909090909
qwen3-4b,connected_nodes,0.1,-0.07000000000000006,-0.08000000000000007,-0.10000000000000009,-0.2500000000000002,-0.1100000000000001,0.14000000000000012,0.44,-0.10000000000000009,1.1,0.4
qwen3-4b,connected_nodes,0.2,0.020000000000000018,0.08999999999999997,-0.050000000000000044,0.05999999999999994,0.0,-0.05999999999999994,0.0,0.08999999999999997,0.0,1.5000000000000009
qwen3-4b,connected_nodes,0.35,-0.039999999999999925,0.050000000000000044,0.050000000000000044,0.060000000000000164,0.030000000000000027,-0.030000000000000138,0.49999999999999906,0.050000000000000044,0.6,0.8333333333333318
