arm,task,density,condition,n,n_uncapped,hit_cap_rate,median_tokens,p90_tokens,median_node_mentions,uses_degree_sum,narrates_neighbors,enumerates_nodes,acc,parsed_rate
qwen3-1.7b,edge_existence,0.85,rwse,100,100,0.0,378.0,415.1,10.5,0.0,0.0,0.0,0.87,1.0
qwen3-1.7b,edge_existence,0.85,components,100,100,0.0,47.0,344.0000000000001,4.0,0.0,0.0,0.0,0.85,1.0
qwen3-1.7b,edge_existence,0.85,all,100,100,0.0,404.5,452.20000000000005,11.0,0.0,0.0,0.01,0.89,1.0
qwen3-1.7b,node_degree,0.1,none,100,100,0.0,77.0,91.0,3.0,0.0,0.0,0.0,0.91,1.0
qwen3-1.7b,node_degree,0.1,filler,100,100,0.0,76.0,95.10000000000001,3.0,0.0,0.0,0.0,0.96,1.0
qwen3-1.7b,node_degree,0.1,degree,100,100,0.0,88.0,104.0,4.0,0.0,0.0,0.0,0.94,1.0
qwen3-1.7b,node_degree,0.1,clustering,100,100,0.0,78.0,95.0,3.0,0.0,0.0,0.0,0.93,1.0
qwen3-1.7b,node_degree,0.1,rwse,100,100,0.0,82.0,107.20000000000002,3.0,0.0,0.0,0.0,0.94,1.0
qwen3-1.7b,node_degree,0.1,components,100,100,0.0,77.0,92.0,3.0,0.0,0.0,0.0,0.92,1.0
qwen3-1.7b,node_degree,0.1,all,100,100,0.0,79.0,94.80000000000007,3.0,0.0,0.0,0.0,0.97,1.0
qwen3-1.7b,node_degree,0.2,none,100,100,0.0,90.5,131.0,3.0,0.0,0.0,0.0,0.8,1.0
qwen3-1.7b,node_degree,0.2,filler,100,100,0.0,90.0,124.20000000000002,3.0,0.0,0.0,0.0,0.73,1.0
qwen3-1.7b,node_degree,0.2,degree,100,100,0.0,98.0,140.20000000000002,3.0,0.0,0.0,0.0,0.9,1.0
qwen3-1.7b,node_degree,0.2,clustering,100,100,0.0,91.5,117.80000000000007,3.0,0.0,0.0,0.0,0.82,1.0
qwen3-1.7b,node_degree,0.2,rwse,100,100,0.0,111.5,145.70000000000005,3.0,0.0,0.0,0.01,0.84,1.0
qwen3-1.7b,node_degree,0.2,components,100,100,0.0,90.5,123.20000000000002,3.0,0.0,0.0,0.0,0.82,1.0
qwen3-1.7b,node_degree,0.2,all,100,100,0.0,93.0,166.0,3.0,0.0,0.0,0.0,0.9,1.0
qwen3-1.7b,node_degree,0.35,none,100,100,0.0,132.5,224.40000000000003,3.0,0.0,0.0,0.0,0.41,1.0
qwen3-1.7b,node_degree,0.35,filler,100,100,0.0,122.5,204.70000000000005,3.0,0.0,0.0,0.01,0.41,1.0
qwen3-1.7b,node_degree,0.35,degree,100,100,0.0,176.5,224.40000000000003,3.0,0.0,0.0,0.0,0.59,1.0
qwen3-1.7b,node_degree,0.35,clustering,100,100,0.0,175.0,231.10000000000002,3.0,0.0,0.0,0.0,0.47,1.0
qwen3-1.7b,node_degree,0.35,rwse,100,99,0.01,148.0,238.2,3.0,0.0,0.0,0.01,0.47,1.0
qwen3-1.7b,node_degree,0.35,components,100,100,0.0,131.0,246.50000000000006,3.0,0.0,0.0,0.0,0.44,1.0
qwen3-1.7b,node_degree,0.35,all,100,100,0.0,172.5,227.50000000000006,3.0,0.0,0.0,0.0,0.58,1.0
qwen3-1.7b,node_degree,0.5,none,100,100,0.0,226.5,308.1,3.0,0.0,0.0,0.0,0.3,1.0
qwen3-1.7b,node_degree,0.5,filler,100,100,0.0,183.5,281.50000000000006,3.0,0.0,0.0,0.0,0.3,1.0
qwen3-1.7b,node_degree,0.5,degree,100,100,0.0,229.5,297.1,3.0,0.0,0.0,0.03,0.29,1.0
qwen3-1.7b,node_degree,0.5,clustering,100,100,0.0,236.0,292.3,3.0,0.0,0.0,0.0,0.32,1.0
qwen3-1.7b,node_degree,0.5,rwse,100,100,0.0,245.5,306.70000000000005,3.0,0.0,0.0,0.01,0.33,1.0
qwen3-1.7b,node_degree,0.5,components,100,100,0.0,231.5,307.3,3.0,0.0,0.0,0.01,0.31,1.0
qwen3-1.7b,node_degree,0.5,all,100,100,0.0,203.5,263.0,3.0,0.0,0.01,0.0,0.38,1.0
qwen3-1.7b,node_degree,0.65,none,100,99,0.01,287.0,361.4,3.0,0.0,0.0,0.01,0.08,1.0
