arm,task,density,condition,n,acc,acc_lo,acc_hi,f1,hit_cap_rate,parsed_rate,constant_gold,vs_none_delta,vs_none_fixed,vs_none_broke,vs_none_p,vs_none_lo,vs_none_hi,vs_filler_delta,vs_filler_fixed,vs_filler_broke,vs_filler_churn,vs_filler_p,vs_filler_lo,vs_filler_hi,vs_none_churn,vs_none_q,vs_filler_q
qwen3-1.7b,edge_existence,0.5,filler,100,0.48,0.38464384320080547,0.5768359490982345,0.48,0.0,1.0,0,-0.06000000000000005,0,6,0.03125,-0.11,-0.02,0.0,0,0,,,,,6.0,0.13125,
qwen3-1.7b,edge_existence,0.5,degree,100,0.78,0.6892946528499969,0.849988254963442,0.78,0.0,1.0,0,0.24,25,1,8.046627044677734e-07,0.16,0.33,0.30000000000000004,31,1,32.0,1.5366822481155396e-08,0.2,0.39,26.0,1.1265277862548828e-05,9.220093488693237e-08
qwen3-1.7b,edge_existence,0.5,clustering,100,0.67,0.5730516033971139,0.7543701620610456,0.67,0.0,1.0,0,0.13,14,1,0.0009765625,0.06,0.2,0.19000000000000006,19,0,19.0,3.814697265625e-06,0.12,0.27,15.0,0.0068359375,1.6021728515625e-05
qwen3-1.7b,edge_existence,0.5,rwse,100,0.67,0.5730516033971139,0.7543701620610456,0.67,0.0,1.0,0,0.13,15,2,0.002349853515625,0.06,0.21,0.19000000000000006,19,0,19.0,3.814697265625e-06,0.12,0.27,17.0,0.01409912109375,1.6021728515625e-05
qwen3-1.7b,edge_existence,0.5,components,100,0.51,0.4134784047743415,0.6057816990761385,0.51,0.0,1.0,0,-0.030000000000000027,1,4,0.375,-0.08,0.01,0.030000000000000027,3,0,3.0,0.25,0.0,0.07,5.0,0.7159090909090909,0.40384615384615385
qwen3-1.7b,edge_existence,0.5,all,100,0.8,0.7111690380734977,0.8666340774409013,0.8,0.0,1.0,0,0.26,27,1,2.1606683731079102e-07,0.17,0.35,0.32000000000000006,32,0,32.0,4.656612873077393e-10,0.23,0.41,28.0,4.537403583526611e-06,3.91155481338501e-09
qwen3-1.7b,edge_existence,0.65,none,100,0.68,0.5833719774632081,0.7633098918454312,0.68,0.0,1.0,0,0.0,0,0,,,,0.020000000000000018,2,0,2.0,0.5,0.0,0.05,,,0.6774193548387096
qwen3-1.7b,edge_existence,0.65,filler,100,0.66,0.5627754565831095,0.74538620502457,0.66,0.0,1.0,0,-0.020000000000000018,0,2,0.5,-0.05,0.0,0.0,0,0,,,,,2.0,0.76171875,
qwen3-1.7b,edge_existence,0.65,degree,100,0.71,0.6146092505999207,0.7898529302601586,0.71,0.0,1.0,0,0.029999999999999916,3,0,0.25,0.0,0.07,0.04999999999999993,5,0,5.0,0.0625,0.01,0.1,3.0,0.5603759765625,0.125
qwen3-1.7b,edge_existence,0.65,clustering,100,0.67,0.5730516033971139,0.7543701620610456,0.67,0.0,1.0,0,-0.010000000000000009,1,2,1.0,-0.05,0.02,0.010000000000000009,1,0,1.0,1.0,0.0,0.03,3.0,1.0,1.0
qwen3-1.7b,edge_existence,0.65,rwse,100,0.7,0.6041496156718804,0.7810524613377188,0.7,0.0,1.0,0,0.019999999999999907,4,2,0.6875,-0.03,0.07,0.039999999999999925,4,0,4.0,0.125,0.01,0.08,6.0,0.9498883101247972,0.22826086956521738
qwen3-1.7b,edge_existence,0.65,components,100,0.66,0.5627754565831095,0.74538620502457,0.66,0.0,1.0,0,-0.020000000000000018,0,2,0.5,-0.05,0.0,0.0,0,0,0.0,1.0,0.0,0.0,2.0,0.76171875,1.0
qwen3-1.7b,edge_existence,0.65,all,100,0.76,0.6676748127670786,0.8330878873454004,0.76,0.0,1.0,0,0.07999999999999996,8,0,0.0078125,0.03,0.14,0.09999999999999998,10,0,10.0,0.001953125,0.05,0.16,8.0,0.041015625,0.005859375
qwen3-1.7b,edge_existence,0.75,none,100,0.77,0.6784543514317231,0.841568452531236,0.77,0.0,1.0,0,0.0,0,0,,,,0.010000000000000009,1,0,1.0,1.0,0.0,0.03,,,1.0
qwen3-1.7b,edge_existence,0.75,filler,100,0.76,0.6676748127670786,0.8330878873454004,0.76,0.0,1.0,0,-0.010000000000000009,0,1,1.0,-0.03,0.0,0.0,0,0,,,,,1.0,1.0,
qwen3-1.7b,edge_existence,0.75,degree,96,0.8125,0.7229756303456031,0.877976277476387,0.8125,0.04,1.0,0,0.05208333333333337,9,4,0.266845703125,-0.020833333333333332,0.125,0.0625,9,3,12.0,0.14599609375,-0.010416666666666666,0.13541666666666666,13.0,0.5603759765625,0.2554931640625
qwen3-1.7b,edge_existence,0.75,clustering,100,0.82,0.7333246397578691,0.8829986834574896,0.82,0.0,1.0,0,0.04999999999999993,8,3,0.2265625,-0.01,0.12,0.05999999999999994,8,2,10.0,0.109375,0.0,0.12,11.0,0.5603759765625,0.20880681818181818
qwen3-1.7b,edge_existence,0.75,rwse,100,0.77,0.6784543514317231,0.841568452531236,0.77,0.0,1.0,0,0.0,1,1,1.0,-0.03,0.03,0.010000000000000009,1,0,1.0,1.0,0.0,0.03,2.0,1.0,1.0
qwen3-1.7b,edge_existence,0.75,components,100,0.77,0.6784543514317231,0.841568452531236,0.77,0.0,1.0,0,0.0,0,0,1.0,0.0,0.0,0.010000000000000009,1,0,1.0,1.0,0.0,0.03,0.0,1.0,1.0
