arm,task,density,condition,n,baseline,delta,acc,bar,bar_none,carries,p,q
qwen3-1.7b-think,edge_existence,0.35,components,100,0.97,1.0000000000000009,0.98,0.7352380952380952,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.35,clustering,100,0.97,2.0000000000000018,0.99,0.7266666666666667,0.7352380952380952,False,0.5,1.0
qwen3-1.7b-think,edge_existence,0.35,rwse,100,0.97,0.0,0.97,0.5538095238095239,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.35,degree,100,0.97,0.0,0.97,0.7457142857142857,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.35,all,100,0.97,0.0,0.97,0.7409523809523809,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.5,components,100,1.0,0.0,1.0,0.7352380952380952,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.5,clustering,100,1.0,-2.0000000000000018,0.98,0.7266666666666667,0.7352380952380952,False,0.5,1.0
qwen3-1.7b-think,edge_existence,0.5,rwse,99,1.0,0.0,1.0,0.5538095238095239,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.5,degree,99,1.0,-1.0101010101010055,0.98989898989899,0.7457142857142857,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.5,all,100,1.0,0.0,1.0,0.7409523809523809,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.65,components,100,0.99,0.0,0.99,0.7352380952380952,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.65,clustering,100,0.99,0.0,0.99,0.7266666666666667,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.65,rwse,100,0.99,1.0000000000000009,1.0,0.5538095238095239,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.65,degree,100,0.99,1.0000000000000009,1.0,0.7457142857142857,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.65,all,100,0.99,-2.0000000000000018,0.97,0.7409523809523809,0.7352380952380952,False,0.625,1.0
qwen3-1.7b-think,edge_existence,0.75,components,100,0.98,0.0,0.98,0.7352380952380952,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.75,clustering,100,0.98,2.0000000000000018,1.0,0.7266666666666667,0.7352380952380952,False,0.5,1.0
qwen3-1.7b-think,edge_existence,0.75,rwse,100,0.98,1.0000000000000009,0.99,0.5538095238095239,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.75,degree,100,0.98,0.0,0.98,0.7457142857142857,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.75,all,100,0.98,1.0000000000000009,0.99,0.7409523809523809,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.85,components,100,1.0,0.0,1.0,0.7352380952380952,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.85,clustering,100,1.0,-3.0000000000000027,0.97,0.7266666666666667,0.7352380952380952,False,0.25,1.0
qwen3-1.7b-think,edge_existence,0.85,rwse,100,1.0,-1.0000000000000009,0.99,0.5538095238095239,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.85,degree,100,1.0,-3.0000000000000027,0.97,0.7457142857142857,0.7352380952380952,False,0.25,1.0
qwen3-1.7b-think,edge_existence,0.85,all,100,1.0,-1.0000000000000009,0.99,0.7409523809523809,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,node_degree,0.1,components,95,0.9368421052631579,2.1052631578947323,0.9578947368421052,0.1442857142857143,0.1442857142857143,False,0.625,0.8413461538461539
qwen3-1.7b-think,node_degree,0.1,clustering,96,0.9270833333333334,2.083333333333326,0.9479166666666666,0.1442857142857143,0.1442857142857143,False,0.7265625,0.8881295872410631
qwen3-1.7b-think,node_degree,0.1,rwse,97,0.9278350515463918,3.0927835051546393,0.9587628865979382,0.21047619047619048,0.1442857142857143,False,0.453125,0.6973496168527914
qwen3-1.7b-think,node_degree,0.1,degree,97,0.9278350515463918,5.154639175257724,0.979381443298969,1.0,0.1442857142857143,True,0.125,0.2916666666666667
qwen3-1.7b-think,node_degree,0.1,all,97,0.9278350515463918,5.154639175257724,0.979381443298969,1.0,0.1442857142857143,True,0.0625,0.18229166666666666
qwen3-1.7b-think,node_degree,0.2,components,100,0.95,-5.999999999999995,0.89,0.1442857142857143,0.1442857142857143,False,0.0703125,0.1893028846153846
qwen3-1.7b-think,node_degree,0.2,clustering,100,0.95,2.0000000000000018,0.97,0.1442857142857143,0.1442857142857143,False,0.625,0.8413461538461539
qwen3-1.7b-think,node_degree,0.2,rwse,98,0.9489795918367347,-2.0408163265306145,0.9285714285714286,0.21047619047619048,0.1442857142857143,False,0.7265625,0.8881295872410631
qwen3-1.7b-think,node_degree,0.2,degree,98,0.9489795918367347,-1.0204081632653073,0.9387755102040817,1.0,0.1442857142857143,True,1.0,1.0
qwen3-1.7b-think,node_degree,0.2,all,99,0.9595959595959596,1.0101010101010166,0.9696969696969697,1.0,0.1442857142857143,True,1.0,1.0
qwen3-1.7b-think,node_degree,0.35,components,100,0.6,2.0000000000000018,0.62,0.1442857142857143,0.1442857142857143,False,0.79052734375,0.9222819010416666
qwen3-1.7b-think,node_degree,0.35,clustering,100,0.6,1.0000000000000009,0.61,0.1442857142857143,0.1442857142857143,False,1.0,1.0
qwen3-1.7b-think,node_degree,0.35,rwse,100,0.6,5.000000000000004,0.65,0.21047619047619048,0.1442857142857143,False,0.45825831964612007,0.6973496168527914
qwen3-1.7b-think,node_degree,0.35,degree,92,0.6086956521739131,22.826086956521742,0.8369565217391305,1.0,0.1442857142857143,True,4.9233436584472656e-05,0.0005743900934855143
qwen3-1.7b-think,node_degree,0.35,all,100,0.6,21.999999999999996,0.82,1.0,0.1442857142857143,True,0.00031255115754902363,0.0021878581028431654
qwen3-1.7b-think,node_degree,0.5,components,100,0.6,-2.0000000000000018,0.58,0.1442857142857143,0.1442857142857143,False,0.8238029479980469,0.93010010257844
qwen3-1.7b-think,node_degree,0.5,clustering,100,0.6,-1.0000000000000009,0.59,0.1442857142857143,0.1442857142857143,False,1.0,1.0
qwen3-1.7b-think,node_degree,0.5,rwse,99,0.5959595959595959,4.040404040404044,0.6363636363636364,0.21047619047619048,0.1442857142857143,False,0.5715881884098053,0.8335661080976328
qwen3-1.7b-think,node_degree,0.5,degree,89,0.6067415730337079,21.34831460674157,0.8202247191011236,1.0,0.1442857142857143,True,0.0013187271542847157,0.006593635771423578
qwen3-1.7b-think,node_degree,0.5,all,100,0.6,18.000000000000004,0.78,1.0,0.1442857142857143,True,0.0029350556433200836,0.011414105279578103
qwen3-1.7b-think,node_degree,0.65,components,99,0.5151515151515151,-6.0606060606060606,0.45454545454545453,0.1442857142857143,0.1442857142857143,False,0.237884521484375,0.41629791259765625
qwen3-1.7b-think,node_degree,0.65,clustering,100,0.52,-13.0,0.39,0.1442857142857143,0.1442857142857143,False,0.05958388801809633,0.18229166666666666
qwen3-1.7b-think,node_degree,0.65,rwse,100,0.52,-9.000000000000002,0.43,0.21047619047619048,0.1442857142857143,False,0.17546524899080396,0.3411824285932299
qwen3-1.7b-think,node_degree,0.65,degree,86,0.5465116279069767,23.25581395348838,0.7790697674418605,1.0,0.1442857142857143,True,0.0008213953115046024,0.004791472650443514
qwen3-1.7b-think,node_degree,0.65,all,100,0.52,29.999999999999993,0.82,1.0,0.1442857142857143,True,1.5221826110689562e-05,0.00026638195693706734
qwen3-1.7b-think,node_degree,0.75,components,95,0.4631578947368421,-7.36842105263158,0.3894736842105263,0.1442857142857143,0.1442857142857143,False,0.1670684814453125,0.3411824285932299
qwen3-1.7b-think,node_degree,0.75,clustering,96,0.46875,-9.375,0.375,0.1442857142857143,0.1442857142857143,False,0.13604594767093658,0.2976005105301738
qwen3-1.7b-think,node_degree,0.75,rwse,96,0.46875,-8.333333333333332,0.3854166666666667,0.21047619047619048,0.1442857142857143,False,0.20048842206597328,0.3693207774899508
