arm,task,cond,n_pairs,n_all,d_drop,p_drop,d_zero,p_zero,q_drop,q_zero,sig_drop,sig_zero,bh_flip,delta_shift
qwen3-4b,cycle_check,rwse,392,400,0.25510204081632404,1.0,-0.24999999999999467,1.0,1.0,1.0,False,False,False,0.5051020408163187
qwen3-4b,cycle_check,degree,391,400,-1.534526854219942,0.03125,-2.2499999999999964,0.03515625,0.1875,0.2109375,False,False,False,0.7154731457800545
qwen3-4b,cycle_check,filler,392,400,-0.25510204081632404,1.0,-0.5000000000000004,0.7265625,1.0,1.0,False,False,False,0.2448979591836764
qwen3-4b,cycle_check,all,395,400,-0.5063291139240533,0.625,-0.24999999999999467,1.0,1.0,1.0,False,False,False,0.25632911392405866
qwen3-4b,edge_existence,components,400,400,-2.750000000000008,0.12628947438543037,-2.750000000000008,0.12628947438543037,0.12628947438543037,0.12628947438543037,False,False,False,0.0
qwen3-4b,edge_existence,clustering,400,400,3.9999999999999925,0.01658900337497471,3.9999999999999925,0.01658900337497471,0.02234860393800773,0.01990680404996965,True,True,False,0.0
qwen3-4b,edge_existence,rwse,400,400,-9.999999999999998,7.237175237417024e-07,-9.999999999999998,7.237175237417024e-07,4.342305142450214e-06,4.342305142450214e-06,True,True,False,0.0
qwen3-4b,edge_existence,degree,398,400,-4.2713567839196,0.01862383661500644,-4.749999999999998,0.009399241523873059,0.02234860393800773,0.014098862285809588,True,True,False,0.47864321608039795
qwen3-4b,edge_existence,filler,400,400,-7.000000000000006,0.00023444586091919684,-7.000000000000006,0.00023444586091919684,0.00046889172183839367,0.00046889172183839367,True,True,False,0.0
qwen3-4b,edge_existence,all,399,400,-9.774436090225569,2.612848003590018e-06,-9.999999999999998,1.652519847797991e-06,7.838544010770054e-06,4.957559543393973e-06,True,True,False,0.2255639097744293
qwen3-4b,node_degree,components,400,400,0.24999999999999467,1.0,0.24999999999999467,1.0,1.0,1.0,False,False,False,0.0
qwen3-4b,node_degree,clustering,400,400,-0.5000000000000004,0.7265625,-0.5000000000000004,0.7265625,0.871875,0.871875,False,False,False,0.0
qwen3-4b,node_degree,rwse,400,400,-2.2500000000000075,0.0224609375,-2.2500000000000075,0.0224609375,0.044921875,0.044921875,True,True,False,0.0
qwen3-4b,node_degree,degree,400,400,-6.500000000000005,2.5560148060321808e-06,-6.500000000000005,2.5560148060321808e-06,7.668044418096542e-06,7.668044418096542e-06,True,True,False,0.0
qwen3-4b,node_degree,filler,400,400,-0.5000000000000004,0.7265625,-0.5000000000000004,0.7265625,0.871875,0.871875,False,False,False,0.0
qwen3-4b,node_degree,all,400,400,-8.000000000000007,1.941225491464138e-08,-8.000000000000007,1.941225491464138e-08,1.1647352948784828e-07,1.1647352948784828e-07,True,True,False,0.0
qwen3-4b,connected_nodes,components,400,400,9.250000000000004,1.2115257419509362e-07,9.250000000000004,1.2115257419509362e-07,4.850436516478475e-07,4.850436516478475e-07,True,True,False,0.0
qwen3-4b,connected_nodes,clustering,400,400,1.0000000000000009,0.7035366713552734,1.0000000000000009,0.7035366713552734,0.8442440056263282,0.8442440056263282,False,False,False,0.0
qwen3-4b,connected_nodes,rwse,400,400,0.0,1.0,0.0,1.0,1.0,1.0,False,False,False,0.0
qwen3-4b,connected_nodes,degree,400,400,-3.0000000000000027,0.19450516586739908,-3.0000000000000027,0.19450516586739908,0.37206861283879195,0.37206861283879195,False,False,False,0.0
qwen3-4b,connected_nodes,filler,400,400,-12.5,1.6168121721594917e-07,-12.5,1.6168121721594917e-07,4.850436516478475e-07,4.850436516478475e-07,True,True,False,0.0
qwen3-4b,connected_nodes,all,400,400,-2.749999999999997,0.24804574189252795,-2.749999999999997,0.24804574189252795,0.37206861283879195,0.37206861283879195,False,False,False,0.0
qwen3-4b,edge_count,components,397,400,-1.2594458438287153,0.1796875,-1.25,0.1796875,0.26953125,0.26953125,False,False,False,0.009445843828715272
qwen3-4b,edge_count,clustering,399,400,-1.2531328320802004,0.2265625,-1.25,0.2265625,0.271875,0.271875,False,False,False,0.0031328320802004317
qwen3-4b,edge_count,rwse,398,400,-1.507537688442211,0.0703125,-1.5,0.0703125,0.140625,0.140625,False,False,False,0.007537688442210921
