arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,density,none_acc,mid_range,contaminated,bh_significant,bh_global
qwen3-1.7b,lo,node_degree,degree,filler,100,0.3,0.29,-1.0,15,14,1.0,0.5,0.3,True,True,False,False
qwen3-1.7b,lo,node_degree,all,filler,100,0.96,0.97,1.0,2,3,1.0,0.1,0.91,False,True,False,False
qwen3-1.7b,lo,node_degree,all,filler,100,0.73,0.9,17.0,4,21,0.0009105205535888672,0.2,0.8,True,True,True,True
qwen3-1.7b,lo,node_degree,all,filler,100,0.41,0.58,17.0,11,28,0.009475304279476404,0.35,0.41,True,True,True,False
qwen3-1.7b,lo,node_degree,all,filler,100,0.3,0.38,8.0,14,22,0.2429849540349096,0.5,0.3,True,True,False,False
qwen3-1.7b,hi,edge_existence,components,filler,100,0.66,0.66,0.0,0,0,1.0,0.65,0.68,True,False,False,False
qwen3-1.7b,hi,edge_existence,components,filler,100,0.76,0.77,1.0,0,1,1.0,0.75,0.77,True,False,False,False
qwen3-1.7b,hi,edge_existence,components,filler,100,0.85,0.85,0.0,0,0,1.0,0.85,0.86,True,False,False,False
qwen3-1.7b,hi,edge_existence,clustering,filler,100,0.66,0.67,1.0,0,1,1.0,0.65,0.68,True,False,False,False
qwen3-1.7b,hi,edge_existence,clustering,filler,100,0.76,0.82,6.0,2,8,0.109375,0.75,0.77,True,False,False,False
qwen3-1.7b,hi,edge_existence,clustering,filler,100,0.85,0.86,1.0,0,1,1.0,0.85,0.86,True,False,False,False
qwen3-1.7b,hi,edge_existence,rwse,filler,100,0.66,0.7,4.0,0,4,0.125,0.65,0.68,True,False,False,False
qwen3-1.7b,hi,edge_existence,rwse,filler,100,0.76,0.77,1.0,0,1,1.0,0.75,0.77,True,False,False,False
qwen3-1.7b,hi,edge_existence,rwse,filler,100,0.85,0.87,2.0,0,2,0.5,0.85,0.86,True,False,False,False
qwen3-1.7b,hi,edge_existence,degree,filler,100,0.66,0.71,5.0,0,5,0.0625,0.65,0.68,True,True,False,False
qwen3-1.7b,hi,edge_existence,degree,filler,96,0.75,0.8125,6.25,3,9,0.14599609375,0.75,0.77,True,True,False,False
qwen3-1.7b,hi,edge_existence,degree,filler,100,0.85,0.88,3.0,1,4,0.375,0.85,0.86,True,True,False,False
qwen3-1.7b,hi,edge_existence,all,filler,100,0.66,0.76,10.0,0,10,0.001953125,0.65,0.68,True,True,True,True
qwen3-1.7b,hi,edge_existence,all,filler,100,0.76,0.86,10.0,1,11,0.00634765625,0.75,0.77,True,True,True,True
qwen3-1.7b,hi,edge_existence,all,filler,100,0.85,0.89,4.0,1,5,0.21875,0.85,0.86,True,True,False,False
qwen3-1.7b,hi,node_degree,components,filler,100,0.07,0.14,7.0,4,11,0.11846923828125,0.65,0.0808,False,False,False,False
qwen3-1.7b,hi,node_degree,components,filler,100,0.03,0.12,9.0,2,11,0.0224609375,0.75,0.16,False,False,True,False
qwen3-1.7b,hi,node_degree,components,filler,100,0.03,0.04,1.0,2,3,1.0,0.85,0.05,False,False,False,False
qwen3-1.7b,hi,node_degree,clustering,filler,100,0.07,0.07,0.0,5,5,1.0,0.65,0.0808,False,False,False,False
qwen3-1.7b,hi,node_degree,clustering,filler,100,0.03,0.11,8.0,3,11,0.057373046875,0.75,0.16,False,False,False,False
qwen3-1.7b,hi,node_degree,clustering,filler,100,0.03,0.01,-2.0,3,1,0.625,0.85,0.05,False,False,False,False
qwen3-1.7b,hi,node_degree,rwse,filler,100,0.07,0.07,0.0,5,5,1.0,0.65,0.0808,False,False,False,False
qwen3-1.7b,hi,node_degree,rwse,filler,100,0.03,0.05,2.0,3,5,0.7265625,0.75,0.16,False,False,False,False
qwen3-1.7b,hi,node_degree,rwse,filler,100,0.03,0.01,-2.0,3,1,0.625,0.85,0.05,False,False,False,False
qwen3-1.7b,hi,node_degree,degree,filler,100,0.07,0.08,1.0,4,5,1.0,0.65,0.0808,False,True,False,False
qwen3-1.7b,hi,node_degree,degree,filler,100,0.03,0.15,12.0,2,14,0.004180908203125,0.75,0.16,False,True,True,True
qwen3-1.7b,hi,node_degree,degree,filler,100,0.03,0.07,4.0,0,4,0.125,0.85,0.05,False,True,False,False
qwen3-1.7b,hi,node_degree,all,filler,100,0.07,0.15,8.0,5,13,0.09625244140625,0.65,0.0808,False,True,False,False
qwen3-1.7b,hi,node_degree,all,filler,100,0.03,0.17,14.0,2,16,0.001312255859375,0.75,0.16,False,True,True,True
qwen3-1.7b,hi,node_degree,all,filler,100,0.03,0.05,2.0,2,4,0.6875,0.85,0.05,False,True,False,False
qwen3-1.7b-think,lo,connected_nodes,components,filler,96,0.9688,0.9688,0.0,3,3,1.0,0.1,0.9485,False,False,False,False
qwen3-1.7b-think,lo,connected_nodes,components,filler,98,0.9796,0.949,-3.06,3,0,0.25,0.2,0.9592,False,False,False,False
qwen3-1.7b-think,lo,connected_nodes,components,filler,100,0.72,0.71,-1.0,9,8,1.0,0.35,0.6939,True,False,False,False
qwen3-1.7b-think,lo,connected_nodes,components,filler,100,0.61,0.67,6.0,4,10,0.1795654296875,0.5,0.5859,True,False,False,False
qwen3-1.7b-think,lo,connected_nodes,clustering,filler,98,0.9592,0.9592,0.0,3,3,1.0,0.1,0.9485,False,False,False,False
qwen3-1.7b-think,lo,connected_nodes,clustering,filler,99,0.9798,0.9596,-2.02,2,0,0.5,0.2,0.9592,False,False,False,False
qwen3-1.7b-think,lo,connected_nodes,clustering,filler,100,0.72,0.66,-6.0,12,6,0.237884521484375,0.35,0.6939,True,False,False,False
qwen3-1.7b-think,lo,connected_nodes,clustering,filler,100,0.61,0.67,6.0,8,14,0.28627872467041016,0.5,0.5859,True,False,False,False
qwen3-1.7b-think,lo,connected_nodes,rwse,filler,99,0.9596,0.9798,2.02,1,3,0.625,0.1,0.9485,False,False,False,False
qwen3-1.7b-think,lo,connected_nodes,rwse,filler,99,0.9798,0.8788,-10.1,10,0,0.001953125,0.2,0.9592,False,False,True,True
qwen3-1.7b-think,lo,connected_nodes,rwse,filler,100,0.72,0.72,0.0,9,9,1.0,0.35,0.6939,True,False,False,False
qwen3-1.7b-think,lo,connected_nodes,rwse,filler,98,0.6122,0.5918,-2.04,14,12,0.8450189828872681,0.5,0.5859,True,False,False,False
qwen3-1.7b-think,lo,connected_nodes,degree,filler,98,0.9592,0.9388,-2.04,5,3,0.7265625,0.1,0.9485,False,True,False,False
qwen3-1.7b-think,lo,connected_nodes,degree,filler,96,0.9792,0.9479,-3.12,4,1,0.375,0.2,0.9592,False,True,False,False
qwen3-1.7b-think,lo,connected_nodes,degree,filler,100,0.72,0.81,9.0,4,13,0.049041748046875,0.35,0.6939,True,True,False,False
qwen3-1.7b-think,lo,connected_nodes,degree,filler,99,0.6162,0.7576,14.14,6,20,0.009355306625366211,0.5,0.5859,True,True,True,False
qwen3-1.7b-think,lo,connected_nodes,all,filler,99,0.9596,1.0,4.04,0,4,0.125,0.1,0.9485,False,True,False,False
qwen3-1.7b-think,lo,connected_nodes,all,filler,97,0.9794,0.9588,-2.06,2,0,0.5,0.2,0.9592,False,True,False,False
qwen3-1.7b-think,lo,connected_nodes,all,filler,100,0.72,0.78,6.0,5,11,0.210113525390625,0.35,0.6939,True,True,False,False
qwen3-1.7b-think,lo,connected_nodes,all,filler,99,0.6061,0.6869,8.08,9,17,0.16863754391670227,0.5,0.5859,True,True,False,False
qwen3-1.7b-think,lo,cycle_check,components,filler,86,1.0,1.0,0.0,0,0,1.0,0.1,1.0,False,False,False,False
qwen3-1.7b-think,lo,cycle_check,components,filler,96,1.0,1.0,0.0,0,0,1.0,0.2,1.0,False,False,False,False
qwen3-1.7b-think,lo,cycle_check,components,filler,87,1.0,1.0,0.0,0,0,1.0,0.35,1.0,False,False,False,False
qwen3-1.7b-think,lo,cycle_check,components,filler,89,1.0,1.0,0.0,0,0,1.0,0.5,1.0,False,False,False,False
qwen3-1.7b-think,lo,cycle_check,clustering,filler,99,1.0,1.0,0.0,0,0,1.0,0.1,1.0,False,False,False,False
qwen3-1.7b-think,lo,cycle_check,clustering,filler,100,1.0,1.0,0.0,0,0,1.0,0.2,1.0,False,False,False,False
qwen3-1.7b-think,lo,cycle_check,clustering,filler,93,1.0,1.0,0.0,0,0,1.0,0.35,1.0,False,False,False,False
qwen3-1.7b-think,lo,cycle_check,clustering,filler,94,1.0,1.0,0.0,0,0,1.0,0.5,1.0,False,False,False,False
qwen3-1.7b-think,lo,cycle_check,rwse,filler,100,1.0,1.0,0.0,0,0,1.0,0.1,1.0,False,False,False,False
qwen3-1.7b-think,lo,cycle_check,rwse,filler,99,1.0,1.0,0.0,0,0,1.0,0.2,1.0,False,False,False,False
qwen3-1.7b-think,lo,cycle_check,rwse,filler,100,1.0,1.0,0.0,0,0,1.0,0.35,1.0,False,False,False,False
